tkt_id,player_id,ticket_no,tkt_amt,purchase_time,win_amt,channel_id,channel_name,purchase_trans_id,win_trans_id
2022490,37417,2.02249E+11,40,59:55.0,0,2,WEB,1266493,1266493
2023353,24679,2.02335E+11,40,05:53.2,100,2,WEB,1266761,1295130
2023354,24679,2.02335E+11,40,05:53.2,0,2,WEB,1266762,1266762
2023438,37307,2.02344E+11,40,06:37.8,0,2,WEB,1266813,1266813
2024157,37296,2.02416E+11,40,11:25.3,0,2,WEB,1267014,1267014
2024458,24679,2.02446E+11,40,13:26.6,0,2,WEB,1267142,1267142
2026675,37602,020266750061,40,29:05.0,100,2,WEB,1268031,1295414
2027562,25156,2.02756E+11,40,36:10.0,0,2,WEB,1268406,1268406
2029925,37559,2.02993E+11,40,53:47.0,100,2,WEB,1269451,1295684
2030480,37348,2.03048E+11,40,57:58.9,0,2,WEB,1269694,1269694
2030558,37348,2.03056E+11,40,58:41.9,0,2,WEB,1269728,1269728
2032186,37705,2.03219E+11,40,11:13.1,100,2,WEB,1270389,1295853
2032780,37584,2.03278E+11,40,14:55.6,100,2,WEB,1270604,1295886
2032806,37584,2.03281E+11,40,15:20.3,0,2,WEB,1270620,1270620
2032889,37290,2.03289E+11,40,16:03.2,100,2,WEB,1270659,1295895
2034744,24679,2.03474E+11,40,31:02.7,100,2,WEB,1271566,1296074
2034755,24679,2.03476E+11,40,31:06.7,0,2,WEB,1271574,1271574
2034845,37728,2.03485E+11,40,31:54.0,0,2,WEB,1271622,1271622
2036582,37528,2.03658E+11,40,48:38.1,0,2,WEB,1272578,1272578
2036667,37528,2.03667E+11,40,49:29.0,0,2,WEB,1272620,1272620
2037056,37427,2.03706E+11,40,53:51.0,0,2,WEB,1272838,1272838
2037703,36674,2.0377E+11,40,58:22.2,0,2,WEB,1273088,1273088
2037721,24085,2.03772E+11,40,58:38.6,0,2,WEB,1273100,1273100
2037722,24085,2.03772E+11,40,58:38.7,0,2,WEB,1273101,1273101
2037723,24085,2.03772E+11,40,58:38.7,0,2,WEB,1273104,1273104
2037724,24085,2.03772E+11,40,58:38.8,0,2,WEB,1273105,1273105
2037747,24085,2.03775E+11,40,58:50.6,0,2,WEB,1273122,1273122
2038085,37690,2.03809E+11,40,02:46.1,100,2,WEB,1273321,1296408
2038086,37690,2.03809E+11,40,02:46.2,0,2,WEB,1273322,1273322
2038266,37304,2.03827E+11,40,04:13.8,0,2,WEB,1273381,1273381
2038817,36954,2.03882E+11,40,08:06.0,100,2,WEB,1273591,1296453
2039337,37454,2.03934E+11,40,13:09.2,0,2,WEB,1273846,1273846
2039338,37454,020393380075,40,13:09.3,0,2,WEB,1273848,1273848
2039509,37539,2.03951E+11,40,14:43.6,100,2,WEB,1273938,1296520
2041097,37121,2.0411E+11,40,34:27.8,0,2,WEB,1274967,1274967
2041104,37121,2.0411E+11,40,34:42.8,0,2,WEB,1274975,1274975
2041653,37282,2.04165E+11,40,41:21.0,0,2,WEB,1275341,1275341
